"","mes_ano","pais","valor"
"2350",2018-02-01,"Indonesia",214484
"2351",2018-03-01,"Indonesia",180454
"2352",2018-04-01,"Indonesia",185179
"2353",2018-05-01,"Indonesia",181342
"2354",2018-06-01,"Indonesia",185330
"2355",2018-07-01,"Indonesia",226024
"2356",2018-08-01,"Indonesia",215352
"2357",2018-09-01,"Indonesia",197747
"2358",2018-10-01,"Indonesia",183377
"2359",2018-11-01,"Indonesia",124848
"2360",2018-12-01,"Indonesia",143063
"2361",2019-01-01,"Indonesia",178665
"2362",2019-02-01,"Indonesia",199960
"2363",2019-03-01,"Indonesia",167995
"2364",2019-04-01,"Indonesia",170136
"2365",2019-05-01,"Indonesia",164936
"2366",2019-06-01,"Indonesia",168269
"2367",2019-07-01,"Indonesia",193594
"2368",2019-08-01,"Indonesia",193859
"2369",2019-09-01,"Indonesia",172856
"2370",2019-10-01,"Indonesia",160300
"2371",2019-11-01,"Indonesia",147334
"2372",2019-12-01,"Indonesia",154175
"2373",2020-01-01,"Indonesia",183685
"2374",2020-02-01,"Indonesia",11586
"2375",2020-03-01,"Indonesia",4985
"2376",2020-04-01,"Indonesia",1748
"2377",2020-05-01,"Indonesia",1965
"2378",2020-06-01,"Indonesia",2079
"2379",2020-07-01,"Indonesia",2681
"2380",2020-08-01,"Indonesia",3635
"2381",2020-09-01,"Indonesia",6934
"2382",2020-10-01,"Indonesia",6863
"2383",2020-11-01,"Indonesia",6481
"2384",2020-12-01,"Indonesia",7126
"2385",2021-01-01,"Indonesia",1353
"2386",2021-02-01,"Indonesia",2703
"2387",2021-03-01,"Indonesia",8272
"2388",2021-04-01,"Indonesia",9639
"2389",2021-05-01,"Indonesia",4961
"2390",2021-06-01,"Indonesia",6421
"2391",2021-07-01,"Indonesia",2941
"2392",2021-08-01,"Indonesia",897
